city_development_index,experience,enrolled_university,relevent_experience,education_level,company_type,major_discipline,target
0.92,17,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Arts,0.0
0.624,2,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.84,3,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.92,2,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,9,Full time course,No relevent experience,Masters,Other,STEM,1.0
0.939,3,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.698,1,Primary Grad,No relevent experience,Primary School,Other,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.92,>20,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.691,9,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,11,Part time course,Has relevent experience,Graduate,Other,STEM,1.0
0.926,6,Full time course,No relevent experience,Graduate,NGO,STEM,1.0
0.92,11,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,4,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.698,16,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.897,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,<1,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.804,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.939,4,Part time course,No relevent experience,High School,Other,Non Degree,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Other,Humanities,0.0
0.836,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,3,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,1.0
0.624,4,No enrollment,No relevent experience,Primary School,Other,Non Degree,1.0
0.624,6,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.698,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.624,3,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.924,5,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.804,5,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.767,3,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.789,<1,No enrollment,No relevent experience,Graduate,Other,STEM,1.0
0.92,17,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,8,Part time course,Has relevent experience,Graduate,Other,STEM,1.0
0.92,4,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.926,5,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.624,14,Other,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.893,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.913,>20,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.92,18,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.682,14,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.897,>20,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.92,8,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.8270000000000001,7,Full time course,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,20,No enrollment,No relevent experience,Graduate,Other,Humanities,1.0
0.624,3,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.926,7,No enrollment,Has relevent experience,Masters,Pvt Ltd,Business Degree,0.0
0.92,15,No enrollment,Has relevent experience,Masters,Pvt Ltd,Other,0.0
0.884,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.698,12,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.897,7,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.55,5,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,4,No enrollment,Has relevent experience,Masters,Other,STEM,1.0
0.926,10,Full time course,No relevent experience,Masters,Public Sector,STEM,0.0
0.802,>20,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.89,14,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,16,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Arts,0.0
0.926,>20,No enrollment,Has relevent experience,Primary School,Pvt Ltd,Non Degree,0.0
0.767,6,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.92,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.925,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.767,4,Part time course,No relevent experience,Masters,Other,STEM,1.0
0.645,9,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.926,13,No enrollment,No relevent experience,Masters,Other,STEM,0.0
0.91,<1,No enrollment,Has relevent experience,Graduate,NGO,Arts,0.0
0.925,9,No enrollment,Has relevent experience,Masters,Early Stage Startup,Other,0.0
0.92,16,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Arts,0.0
0.624,16,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,5,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,>20,Part time course,Has relevent experience,Phd,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.727,7,Full time course,Has relevent experience,Graduate,Other,STEM,0.0
0.92,6,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,<1,Full time course,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,13,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.92,11,No enrollment,No relevent experience,Graduate,Other,Business Degree,1.0
0.624,5,Full time course,No relevent experience,High School,Funded Startup,Non Degree,1.0
0.698,3,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0
0.802,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,8,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,5,No enrollment,No relevent experience,Phd,Public Sector,STEM,0.0
0.624,8,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,1.0
0.743,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,6,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.924,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.624,7,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.91,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.762,3,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.924,>20,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.804,9,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,5,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,Business Degree,1.0
0.91,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.6659999999999999,>20,No enrollment,No relevent experience,Phd,Other,Business Degree,0.0
0.926,19,No enrollment,Has relevent experience,High School,Funded Startup,Non Degree,0.0
0.804,10,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.855,8,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.926,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0
0.698,5,No enrollment,No relevent experience,Masters,Other,STEM,1.0
0.92,4,No enrollment,Has relevent experience,Masters,NGO,Arts,0.0
0.92,19,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,1.0
0.55,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,5,Full time course,No relevent experience,High School,Other,Non Degree,1.0
0.92,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0
0.926,>20,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.579,5,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.804,10,Full time course,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.939,8,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.939,11,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0
0.92,14,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,16,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,>20,Part time course,No relevent experience,Masters,Funded Startup,STEM,0.0
0.92,15,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.8959999999999999,10,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.92,5,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,19,No enrollment,No relevent experience,Masters,Pvt Ltd,Business Degree,0.0
0.926,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,4,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.624,8,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,10,No enrollment,Has relevent experience,Graduate,Other,Arts,0.0
0.855,4,Full time course,Has relevent experience,High School,Other,Non Degree,0.0
0.624,2,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.743,2,Part time course,No relevent experience,Primary School,Funded Startup,Non Degree,1.0
0.8270000000000001,5,Part time course,Has relevent experience,Graduate,NGO,STEM,0.0
0.84,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0
0.926,10,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.624,14,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.727,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,NGO,Arts,0.0
0.92,5,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0
0.926,7,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.923,2,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.92,16,No enrollment,No relevent experience,Masters,Pvt Ltd,Other,0.0
0.926,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0
0.897,6,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.913,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0
0.698,3,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.579,<1,No enrollment,Has relevent experience,High School,Other,Non Degree,1.0
0.92,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,3,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.802,1,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0
0.855,17,Full time course,No relevent experience,Masters,Other,STEM,0.0
0.92,1,Other,No relevent experience,High School,Other,Non Degree,1.0
0.92,>20,Other,Has relevent experience,Graduate,Other,Humanities,0.0
0.624,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.91,19,No enrollment,Has relevent experience,Graduate,NGO,Arts,0.0
0.624,4,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Business Degree,0.0
0.926,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,1,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,6,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.855,7,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.624,17,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.698,11,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.913,19,No enrollment,Has relevent experience,Other,Pvt Ltd,Non Degree,1.0
0.698,>20,Full time course,No relevent experience,Phd,Public Sector,STEM,0.0
0.887,6,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.74,11,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,>20,No enrollment,No relevent experience,Masters,Other,No Major,0.0
0.855,16,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.897,16,No enrollment,Has relevent experience,Phd,Funded Startup,STEM,0.0
0.92,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.939,10,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.698,14,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,<1,No enrollment,Has relevent experience,Graduate,Funded Startup,Humanities,0.0
0.92,4,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0
0.802,2,Full time course,No relevent experience,High School,Early Stage Startup,Non Degree,1.0
0.763,7,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.924,8,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,19,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.767,5,Other,No relevent experience,High School,Other,Non Degree,1.0
0.92,18,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0
0.55,2,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Business Degree,1.0
0.91,<1,No enrollment,No relevent experience,Graduate,NGO,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,8,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.897,9,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.91,2,No enrollment,Has relevent experience,Graduate,Funded Startup,Humanities,0.0
0.624,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,14,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.884,15,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,<1,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.856,17,No enrollment,No relevent experience,Phd,Other,STEM,0.0
0.887,8,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.624,2,Full time course,No relevent experience,Masters,Other,STEM,0.0
0.624,2,Full time course,No relevent experience,High School,Other,Non Degree,1.0
0.903,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.624,14,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.866,8,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,4,Full time course,No relevent experience,High School,Other,Non Degree,1.0
0.939,15,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0
0.624,8,No enrollment,Has relevent experience,Graduate,NGO,STEM,1.0
0.92,<1,No enrollment,No relevent experience,Other,Other,Non Degree,0.0
0.92,12,Part time course,No relevent experience,Graduate,NGO,STEM,0.0
0.6890000000000001,17,Full time course,Has relevent experience,Masters,NGO,STEM,0.0
0.579,3,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.91,8,Full time course,Has relevent experience,Graduate,Other,Other,0.0
0.887,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,1,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,19,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.762,>20,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.92,5,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.743,6,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.698,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.55,3,Part time course,Has relevent experience,Graduate,Other,STEM,0.0
0.698,2,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.579,1,Full time course,No relevent experience,High School,Other,Non Degree,1.0
0.91,5,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.8959999999999999,3,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.92,1,No enrollment,No relevent experience,Graduate,Other,STEM,1.0
0.92,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.925,>20,No enrollment,No relevent experience,Masters,Other,Humanities,0.0
0.92,19,No enrollment,Has relevent experience,Graduate,Funded Startup,No Major,0.0
0.866,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.939,19,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,4,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,12,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.92,3,Part time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.743,5,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,11,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.899,7,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.5579999999999999,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.866,<1,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.92,>20,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.899,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.855,11,Full time course,No relevent experience,Masters,Other,STEM,0.0
0.624,<1,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.91,>20,No enrollment,Has relevent experience,Phd,Funded Startup,STEM,0.0
0.624,4,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,3,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.802,>20,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.939,14,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,19,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,17,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.926,6,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,10,No enrollment,No relevent experience,Graduate,Other,STEM,1.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,12,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.91,6,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.682,1,Full time course,Has relevent experience,Graduate,Other,STEM,1.0
0.804,10,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,2,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.743,10,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,3,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0
0.738,6,Other,Has relevent experience,Graduate,Other,STEM,0.0
0.949,5,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.55,2,No enrollment,Has relevent experience,Masters,NGO,STEM,0.0
0.92,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0
0.55,2,Full time course,No relevent experience,Graduate,Other,Humanities,1.0
0.802,16,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,9,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.939,3,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.884,14,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,9,No enrollment,Has relevent experience,Graduate,Other,Business Degree,0.0
0.926,2,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,17,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.624,17,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.8959999999999999,15,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.924,3,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,4,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.624,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.8959999999999999,4,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,Other,0.0
0.92,1,Full time course,No relevent experience,Graduate,Other,Humanities,1.0
0.92,10,No enrollment,Has relevent experience,Graduate,Other,Arts,1.0
0.698,4,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,13,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.624,10,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.855,2,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.897,11,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.698,2,Full time course,No relevent experience,Graduate,Other,STEM,1.0
0.6659999999999999,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.91,16,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0
0.624,1,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.893,10,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.762,4,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.897,6,Part time course,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,10,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.92,9,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.903,>20,No enrollment,Has relevent experience,Other,Other,Non Degree,0.0
0.682,3,Full time course,Has relevent experience,Graduate,Other,STEM,1.0
0.92,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.878,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.897,3,Full time course,No relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.6890000000000001,5,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.926,8,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.887,2,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.624,3,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.923,4,No enrollment,Has relevent experience,Masters,Public Sector,Humanities,0.0
0.624,4,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.91,>20,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.6890000000000001,4,Part time course,Has relevent experience,Graduate,Other,STEM,1.0
0.754,6,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0
0.923,3,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.897,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.913,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,14,Part time course,Has relevent experience,Graduate,Public Sector,STEM,0.0
0.897,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.8270000000000001,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0
0.624,3,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.754,9,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.926,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.949,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,5,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.91,15,No enrollment,Has relevent experience,Graduate,Funded Startup,Arts,0.0
0.926,15,Full time course,Has relevent experience,Masters,Pvt Ltd,Arts,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.897,4,Other,No relevent experience,Other,Other,Non Degree,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.92,4,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,2,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0
0.92,>20,No enrollment,Has relevent experience,Phd,NGO,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,Humanities,0.0
0.92,1,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0
0.926,>20,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,>20,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.92,14,No enrollment,No relevent experience,Graduate,Funded Startup,STEM,0.0
0.884,7,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0
0.624,1,No enrollment,No relevent experience,Graduate,Other,STEM,0.0
0.893,9,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.92,5,Part time course,Has relevent experience,Graduate,Pvt Ltd,Other,0.0
0.91,>20,No enrollment,No relevent experience,Graduate,Funded Startup,STEM,0.0
0.897,18,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,16,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.92,15,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,5,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.866,20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
